Time Value
20230417T090354 0.078661
20230417T090355 0.078786
20230417T090356 0.078605
20230417T090357 0.078728
20230417T090358 0.078663
20230417T090359 0.078912
20230417T090400 0.079123
20230417T090401 0.079072
20230417T090402 0.078798
20230417T090403 0.079079
20230417T090404 0.078823
20230417T090405 0.079076
20230417T090406 0.078958
20230417T090407 0.078836
20230417T090408 0.078942
20230417T090409 0.078832
20230417T090410 0.078954
20230417T090411 0.079074
20230417T090412 0.078901
20230417T090413 0.078884
20230417T090414 0.078701
20230417T090415 0.078694
20230417T090416 0.078755
20230417T090417 0.078705
20230417T090418 0.078468
20230417T090419 0.078511
20230417T090420 0.078548
20230417T090421 0.078512
20230417T090422 0.078659
20230417T090423 0.078581
20230417T090424 0.078444
20230417T090425 0.078404
20230417T090426 0.078387
20230417T090427 0.078342
20230417T090428 0.078348
20230417T090429 0.078292
20230417T090430 0.078390
20230417T090431 0.078172
20230417T090432 0.078346
20230417T090433 0.078583
20230417T090434 0.078090
20230417T090435 0.078352
20230417T090436 0.078213
20230417T090437 0.078249
20230417T090438 0.078373
20230417T090439 0.078197
20230417T090440 0.078428
20230417T090441 0.078436
20230417T090442 0.078404
20230417T090443 0.078561
20230417T090444 0.078347
20230417T090445 0.078379
20230417T090446 0.078444
20230417T090447 0.078467
20230417T090448 0.078435
20230417T090449 0.078533
20230417T090450 0.078160
20230417T090451 0.078093
20230417T090452 0.078201
20230417T090453 0.078373
20230417T090454 0.078319
20230417T090455 0.078345
20230417T090456 0.078614
20230417T090457 0.078594
20230417T090458 0.078595
20230417T090459 0.078430
20230417T090500 0.078641
20230417T090501 0.078732
20230417T090502 0.078773
20230417T090503 0.079048
20230417T090504 0.078609
20230417T090505 0.078539
20230417T090506 0.078764
20230417T090507 0.078732
20230417T090508 0.078519
20230417T090509 0.078565
20230417T090510 0.078666
20230417T090511 0.078517
20230417T090512 0.078719
20230417T090513 0.078487
20230417T090514 0.078809
20230417T090515 0.078532
20230417T090516 0.078608
