Time Value
20230110T134149 2.928408
20230110T134249 2.931098
20230110T134349 2.933919
20230110T134449 2.936595
20230110T134549 2.939547
20230110T134649 2.943765
20230110T134749 2.946510
20230110T134849 2.949002
20230110T134949 2.952986
20230110T135049 2.956339
20230110T135149 2.959556
20230110T135249 2.963504
20230110T135349 2.966350
20230110T135449 2.967940
20230110T135549 2.969631
20230110T135649 2.972204
20230110T135749 2.975572
20230110T135849 2.978245
20230110T135949 2.979626
20230110T140049 2.981230
20230110T140149 2.983288
20230110T140249 2.985528
20230110T140349 2.987999
20230110T140449 2.990226
20230110T140549 2.991816
20230110T140649 2.992635
20230110T140749 2.993456
20230110T140849 2.994077
20230110T140949 2.995009
20230110T141049 2.996762
20230110T141149 2.997210
20230110T141249 2.997215
20230110T141349 2.997984
20230110T141449 2.999615
20230110T141549 3.001198
20230110T141649 3.002363
20230110T141749 3.002842
20230110T141849 3.004315
20230110T141949 3.006419
20230110T142049 3.009012
20230110T142149 3.011349
20230110T142249 3.013625
20230110T142349 3.015894
20230110T142449 3.017555
20230110T142549 3.019704
20230110T142649 3.021254
20230110T142749 3.022937
20230110T142849 3.025005
20230110T142949 3.026233
20230110T143049 3.028047
20230110T143149 3.029685
20230110T143249 3.030678
20230110T143349 3.031291
20230110T143449 3.031257
20230110T143549 3.031482
20230110T143649 3.032690
20230110T143749 3.033542
20230110T143849 3.034219
20230110T143949 3.034960
20230110T144049 3.035858
20230110T144149 3.037258
20230110T144249 3.038788
20230110T144349 3.039414
20230110T144449 3.039647
20230110T144549 3.039721
20230110T144649 3.040017
20230110T144749 3.040248
20230110T144849 3.041622
20230110T144949 3.043605
20230110T145049 3.045607
20230110T145149 3.046871
20230110T145249 3.047856
20230110T145349 3.048469
20230110T145449 3.049057
20230110T145549 3.049407
20230110T145649 3.050057
20230110T145749 3.050792
20230110T145849 3.051289
20230110T145949 3.051981
20230110T150049 3.052071
20230110T150149 3.052410
20230110T150249 3.053052
20230110T150349 3.053394
20230110T150449 3.053954
20230110T150549 3.054738
20230110T150649 3.056155
20230110T150749 3.056963
20230110T150849 3.057882
20230110T150949 3.059031
20230110T151049 3.059996
20230110T151149 3.061733
20230110T151249 3.063211
20230110T151349 3.064181
20230110T151449 3.064996
20230110T151549 3.067040
20230110T151649 3.068939
20230110T151749 3.071064
