Time Value
20230331T143729 2.804286
20230331T143730 2.804542
20230331T143731 2.804401
20230331T143732 2.804388
20230331T143733 2.804018
20230331T143734 2.805073
20230331T143735 2.804561
20230331T143736 2.804707
20230331T143737 2.804098
20230331T143738 2.804765
20230331T143739 2.804698
20230331T143740 2.804622
20230331T143741 2.804485
20230331T143742 2.804904
20230331T143743 2.805159
20230331T143744 2.804140
20230331T143745 2.804596
20230331T143746 2.805543
20230331T143747 2.805046
20230331T143748 2.805498
20230331T143749 2.804880
20230331T143750 2.805135
20230331T143751 2.805374
20230331T143752 2.805212
20230331T143753 2.804664
20230331T143754 2.805586
20230331T143755 2.805732
20230331T143756 2.805818
20230331T143757 2.805654
20230331T143758 2.805894
20230331T143759 2.805481
20230331T143800 2.806605
20230331T143801 2.805893
20230331T143802 2.805406
20230331T143803 2.805950
20230331T143804 2.805957
20230331T143805 2.805708
20230331T143806 2.805990
20230331T143807 2.805575
20230331T143808 2.806556
20230331T143809 2.805601
20230331T143810 2.805828
20230331T143811 2.807093
20230331T143812 2.806014
20230331T143813 2.806772
20230331T143814 2.806683
20230331T143815 2.806243
20230331T143816 2.805801
20230331T143817 2.807493
20230331T143818 2.806670
20230331T143819 2.806499
20230331T143820 2.807493
20230331T143821 2.806568
20230331T143822 2.806440
20230331T143823 2.807178
20230331T143824 2.807382
20230331T143825 2.806769
20230331T143826 2.807451
20230331T143827 2.806774
20230331T143828 2.806418
20230331T143829 2.807293
20230331T143830 2.807236
20230331T143831 2.807349
20230331T143832 2.806949
20230331T143833 2.807505
20230331T143834 2.807005
20230331T143835 2.807178
20230331T143836 2.807356
20230331T143837 2.807669
20230331T143838 2.807888
20230331T143839 2.807955
20230331T143840 2.807964
20230331T143841 2.807876
20230331T143842 2.807992
20230331T143843 2.808345
20230331T143844 2.808169
20230331T143845 2.808111
20230331T143846 2.808698
20230331T143847 2.808425
20230331T143848 2.808559
20230331T143849 2.807867
20230331T143850 2.808775
20230331T143851 2.808967
20230331T143852 2.809273
20230331T143853 2.808688
20230331T143854 2.809105
20230331T143855 2.809326
20230331T143856 2.808385
20230331T143857 2.809484
20230331T143858 2.809646
20230331T143859 2.809198
20230331T143900 2.809320
20230331T143901 2.809555
20230331T143902 2.810114
20230331T143903 2.809433
20230331T143904 2.809859
20230331T143905 2.809446
20230331T143906 2.809948
20230331T143907 2.809884
20230331T143908 2.808666
20230331T143909 2.810332
20230331T143910 2.809087
20230331T143911 2.809776
20230331T143912 2.809637
20230331T143913 2.810571
20230331T143914 2.809362
20230331T143915 2.810059
20230331T143916 2.810478
20230331T143917 2.809815
20230331T143918 2.811237
20230331T143919 2.809940
20230331T143920 2.811069
20230331T143921 2.810443
20230331T143922 2.810322
20230331T143923 2.810424
20230331T143924 2.811004
20230331T143925 2.810474
20230331T143926 2.811070
20230331T143927 2.810968
20230331T143928 2.811185
20230331T143929 2.811313
20230331T143930 2.810816
20230331T143931 2.811512
20230331T143932 2.811007
20230331T143933 2.811326
20230331T143934 2.811966
20230331T143935 2.811363
20230331T143936 2.811225
20230331T143937 2.811415
20230331T143938 2.811581
20230331T143939 2.811856
20230331T143940 2.811629
20230331T143941 2.811576
20230331T143942 2.811865
20230331T143943 2.811678
20230331T143944 2.812645
20230331T143945 2.811506
20230331T143946 2.812344
20230331T143947 2.812277
20230331T143948 2.812403
20230331T143949 2.811834
20230331T143950 2.812008
20230331T143951 2.811882
20230331T143952 2.812316
20230331T143953 2.812334
20230331T143954 2.812670
20230331T143955 2.812772
20230331T143956 2.812256
20230331T143957 2.812474
20230331T143958 2.812967
20230331T143959 2.812436
20230331T144000 2.813144
20230331T144001 2.812201
20230331T144002 2.813188
20230331T144003 2.812960
20230331T144004 2.813603
20230331T144005 2.813669
20230331T144006 2.813080
20230331T144007 2.813989
20230331T144008 2.813487
20230331T144009 2.813742
20230331T144010 2.814058
20230331T144011 2.814096
20230331T144012 2.813589
20230331T144013 2.813467
20230331T144014 2.813502
20230331T144015 2.813561
20230331T144016 2.813939
20230331T144017 2.814205
20230331T144018 2.814188
20230331T144019 2.814244
20230331T144020 2.815028
20230331T144021 2.814964
20230331T144022 2.814405
20230331T144023 2.814284
20230331T144024 2.813951
20230331T144025 2.815004
20230331T144026 2.814860
20230331T144027 2.814962
20230331T144028 2.814527
20230331T144029 2.814619
20230331T144030 2.815276
20230331T144031 2.815266
20230331T144032 2.815915
20230331T144033 2.815451
20230331T144034 2.815591
20230331T144035 2.815789
20230331T144036 2.815659
20230331T144037 2.815663
20230331T144038 2.815738
20230331T144039 2.816221
20230331T144040 2.816378
20230331T144041 2.816590
20230331T144042 2.816777
20230331T144043 2.816399
20230331T144044 2.816472
20230331T144045 2.816053
20230331T144046 2.817182
20230331T144047 2.816522
20230331T144048 2.816702
20230331T144049 2.816529
20230331T144050 2.816827
20230331T144051 2.817178
20230331T144052 2.816821
20230331T144053 2.816681
20230331T144054 2.817255
20230331T144055 2.817733
20230331T144056 2.817070
20230331T144057 2.817404
20230331T144058 2.817514
20230331T144059 2.817564
20230331T144100 2.817554
20230331T144101 2.817823
20230331T144102 2.817837
20230331T144103 2.817702
20230331T144104 2.817705
20230331T144105 2.818169
